,DateTime,temperature,power,energy,aX,aY,aZ,gX,gY,gZ
0,2021-05-11 19:20:28.626264,31.05,,,,,,,,
1,2021-05-11 19:20:28.637266,,0.0,,,,,,,
2,2021-05-11 19:20:28.655293,,,41731.0,,,,,,
3,2021-05-11 19:20:28.906953,,,,0.1,,,,,
4,2021-05-11 19:20:28.928968,,,,,-0.0,,,,
5,2021-05-11 19:20:28.937942,,,,,,1.1,,,
6,2021-05-11 19:20:28.943941,,,,,,,-0.3,,
7,2021-05-11 19:20:28.949972,,,,,,,,2.0,
8,2021-05-11 19:20:28.954974,,,,,,,,,-0.0
9,2021-05-11 19:20:29.537520,,,,0.4,,,,,
10,2021-05-11 19:20:29.547541,,,,,-0.0,,,,
11,2021-05-11 19:20:29.556517,,,,,,1.0,,,
12,2021-05-11 19:20:29.567991,,,,,,,-0.2,,
13,2021-05-11 19:20:29.573294,,,,,,,,-64.3,
14,2021-05-11 19:20:29.580259,,,,,,,,,-0.4
15,2021-05-11 19:20:30.176053,,,,0.9,,,,,
16,2021-05-11 19:20:30.202050,,,,,-0.0,,,,
17,2021-05-11 19:20:30.207044,,,,,,0.5,,,
18,2021-05-11 19:20:30.219290,,,,,,,-0.8,,
19,2021-05-11 19:20:30.224926,,,,,,,,-48.5,
20,2021-05-11 19:20:30.232060,,,,,,,,,-0.1
21,2021-05-11 19:20:30.805412,,,,1.0,,,,,
22,2021-05-11 19:20:30.821433,,,,,-0.1,,,,
23,2021-05-11 19:20:30.830410,,,,,,0.2,,,
24,2021-05-11 19:20:30.835409,,,,,,,-0.4,,
25,2021-05-11 19:20:30.840409,,,,,,,,-14.9,
26,2021-05-11 19:20:30.846413,,,,,,,,,-0.2
27,2021-05-11 19:20:31.440921,,,,1.0,,,,,
28,2021-05-11 19:20:31.453921,,,,,-0.1,,,,
29,2021-05-11 19:20:31.462927,,,,,,0.1,,,
30,2021-05-11 19:20:31.468920,,,,,,,-0.5,,
31,2021-05-11 19:20:31.473918,,,,,,,,-14.5,
32,2021-05-11 19:20:31.481919,,,,,,,,,-0.2
33,2021-05-11 19:20:32.070903,,,,1.0,,,,,
34,2021-05-11 19:20:32.086023,,,,,-0.1,,,,
35,2021-05-11 19:20:32.096052,,,,,,0.3,,,
36,2021-05-11 19:20:32.103039,,,,,,,0.3,,
37,2021-05-11 19:20:32.108045,,,,,,,,9.3,
38,2021-05-11 19:20:32.115012,,,,,,,,,-0.0
39,2021-05-11 19:20:32.704992,,,,1.0,,,,,
40,2021-05-11 19:20:32.720023,,,,,-0.1,,,,
41,2021-05-11 19:20:32.729127,,,,,,0.2,,,
42,2021-05-11 19:20:32.736336,,,,,,,-1.4,,
43,2021-05-11 19:20:32.742748,,,,,,,,-16.4,
44,2021-05-11 19:20:32.747775,,,,,,,,,-0.2
45,2021-05-11 19:20:33.345646,,,,1.0,,,,,
46,2021-05-11 19:20:33.364668,,,,,-0.1,,,,
47,2021-05-11 19:20:33.371636,,,,,,-0.1,,,
48,2021-05-11 19:20:33.378680,,,,,,,-1.2,,
49,2021-05-11 19:20:33.384664,,,,,,,,-35.3,
50,2021-05-11 19:20:33.389673,,,,,,,,,-0.3
51,2021-05-11 19:20:33.975748,,,,1.0,,,,,
52,2021-05-11 19:20:33.987738,,,,,-0.1,,,,
53,2021-05-11 19:20:33.997766,,,,,,-0.2,,,
54,2021-05-11 19:20:34.002771,,,,,,,0.0,,
55,2021-05-11 19:20:34.009740,,,,,,,,-0.7,
56,2021-05-11 19:20:34.015740,,,,,,,,,0.1
57,2021-05-11 19:20:34.606257,,,,1.0,,,,,
58,2021-05-11 19:20:34.619285,,,,,-0.0,,,,
59,2021-05-11 19:20:34.631257,,,,,,-0.1,,,
60,2021-05-11 19:20:34.637304,,,,,,,0.2,,
61,2021-05-11 19:20:34.643253,,,,,,,,-0.4,
62,2021-05-11 19:20:34.648254,,,,,,,,,0.1
63,2021-05-11 19:20:35.243558,,,,1.0,,,,,
64,2021-05-11 19:20:35.262525,,,,,-0.1,,,,
65,2021-05-11 19:20:35.267529,,,,,,-0.2,,,
66,2021-05-11 19:20:35.273498,,,,,,,0.1,,
67,2021-05-11 19:20:35.279493,,,,,,,,-0.2,
68,2021-05-11 19:20:35.284494,,,,,,,,,-0.1
69,2021-05-11 19:20:35.871867,,,,1.0,,,,,
70,2021-05-11 19:20:35.884869,,,,,-0.1,,,,
71,2021-05-11 19:20:35.894871,,,,,,-0.2,,,
72,2021-05-11 19:20:35.899866,,,,,,,0.1,,
73,2021-05-11 19:20:35.905869,,,,,,,,-0.1,
74,2021-05-11 19:20:35.911892,,,,,,,,,-0.1
75,2021-05-11 19:20:36.508365,,,,1.0,,,,,
76,2021-05-11 19:20:36.534362,,,,,-0.1,,,,
77,2021-05-11 19:20:36.543357,,,,,,-0.2,,,
78,2021-05-11 19:20:36.549356,,,,,,,0.1,,
79,2021-05-11 19:20:36.556405,,,,,,,,0.1,
80,2021-05-11 19:20:36.568358,,,,,,,,,-0.0
81,2021-05-11 19:20:37.145089,,,,1.0,,,,,
82,2021-05-11 19:20:37.166059,,,,,-0.1,,,,
83,2021-05-11 19:20:37.175082,,,,,,-0.2,,,
84,2021-05-11 19:20:37.181060,,,,,,,0.1,,
85,2021-05-11 19:20:37.186060,,,,,,,,0.1,
86,2021-05-11 19:20:37.192084,,,,,,,,,0.1
87,2021-05-11 19:20:37.773038,,,,1.0,,,,,
88,2021-05-11 19:20:37.795462,,,,,-0.1,,,,
89,2021-05-11 19:20:37.802458,,,,,,-0.2,,,
90,2021-05-11 19:20:37.808496,,,,,,,-0.2,,
91,2021-05-11 19:20:37.813505,,,,,,,,0.0,
92,2021-05-11 19:20:37.818507,,,,,,,,,-0.0
93,2021-05-11 19:20:38.399362,,0.0,,,,,,,
94,2021-05-11 19:20:38.429356,,,,1.0,,,,,
95,2021-05-11 19:20:38.434356,30.82,,,,,,,,
96,2021-05-11 19:20:38.442382,,,,,-0.1,,,,
97,2021-05-11 19:20:38.447382,,,,,,-0.2,,,
98,2021-05-11 19:20:38.452356,,,,,,,0.1,,
99,2021-05-11 19:20:38.458386,,,,,,,,-0.1,
100,2021-05-11 19:20:38.464392,,,,,,,,,0.2
101,2021-05-11 19:20:39.039570,,,,1.0,,,,,
102,2021-05-11 19:20:39.059598,,,,,-0.1,,,,
103,2021-05-11 19:20:39.066589,,,,,,-0.2,,,
104,2021-05-11 19:20:39.073596,,,,,,,0.0,,
105,2021-05-11 19:20:39.078586,,,,,,,,-0.0,
106,2021-05-11 19:20:39.083591,,,,,,,,,-0.2
107,2021-05-11 19:20:39.668458,,,,1.0,,,,,
108,2021-05-11 19:20:39.679454,,,,,-0.0,,,,
109,2021-05-11 19:20:39.687471,,,,,,-0.2,,,
110,2021-05-11 19:20:39.696455,,,,,,,0.0,,
111,2021-05-11 19:20:39.702455,,,,,,,,-0.0,
112,2021-05-11 19:20:39.709484,,,,,,,,,-0.0
113,2021-05-11 19:20:40.304257,,,,1.0,,,,,
114,2021-05-11 19:20:40.318259,,,,,-0.1,,,,
115,2021-05-11 19:20:40.326245,,,,,,-0.2,,,
116,2021-05-11 19:20:40.331245,,,,,,,0.2,,
117,2021-05-11 19:20:40.337274,,,,,,,,-0.0,
118,2021-05-11 19:20:40.342273,,,,,,,,,-0.1
119,2021-05-11 19:20:40.934671,,,,1.0,,,,,
120,2021-05-11 19:20:40.952694,,,,,-0.1,,,,
121,2021-05-11 19:20:40.958687,,,,,,-0.2,,,
122,2021-05-11 19:20:40.964685,,,,,,,-0.1,,
123,2021-05-11 19:20:40.970662,,,,,,,,0.0,
124,2021-05-11 19:20:40.975662,,,,,,,,,-0.1
125,2021-05-11 19:20:41.570349,,,,1.0,,,,,
126,2021-05-11 19:20:41.585362,,,,,-0.1,,,,
127,2021-05-11 19:20:41.594371,,,,,,-0.1,,,
128,2021-05-11 19:20:41.601351,,,,,,,-0.0,,
129,2021-05-11 19:20:41.609368,,,,,,,,0.1,
130,2021-05-11 19:20:41.617055,,,,,,,,,-0.0
131,2021-05-11 19:20:42.202982,,,,1.0,,,,,
132,2021-05-11 19:20:42.219047,,,,,-0.1,,,,
133,2021-05-11 19:20:42.225995,,,,,,-0.2,,,
134,2021-05-11 19:20:42.230997,,,,,,,0.0,,
135,2021-05-11 19:20:42.237966,,,,,,,,-0.2,
136,2021-05-11 19:20:42.242992,,,,,,,,,-0.2
137,2021-05-11 19:20:42.837404,,,,1.0,,,,,
138,2021-05-11 19:20:42.850415,,,,,-0.1,,,,
139,2021-05-11 19:20:42.864398,,,,,,-0.2,,,
140,2021-05-11 19:20:42.876399,,,,,,,0.1,,
141,2021-05-11 19:20:42.886395,,,,,,,,0.0,
142,2021-05-11 19:20:42.897395,,,,,,,,,0.2
143,2021-05-11 19:20:43.474376,,,,1.0,,,,,
144,2021-05-11 19:20:43.494371,,,,,-0.1,,,,
145,2021-05-11 19:20:43.505368,,,,,,-0.2,,,
146,2021-05-11 19:20:43.510365,,,,,,,0.1,,
147,2021-05-11 19:20:43.516368,,,,,,,,0.1,
148,2021-05-11 19:20:43.521367,,,,,,,,,0.1
149,2021-05-11 19:20:44.092490,,,,1.0,,,,,
150,2021-05-11 19:20:44.115464,,,,,-0.1,,,,
151,2021-05-11 19:20:44.128159,,,,,,-0.1,,,
152,2021-05-11 19:20:44.135194,,,,,,,0.0,,
153,2021-05-11 19:20:44.140190,,,,,,,,-0.0,
154,2021-05-11 19:20:44.146161,,,,,,,,,0.0
155,2021-05-11 19:20:44.725420,,,,1.0,,,,,
156,2021-05-11 19:20:44.735451,,,,,-0.1,,,,
157,2021-05-11 19:20:44.745456,,,,,,-0.2,,,
158,2021-05-11 19:20:44.757416,,,,,,,0.0,,
159,2021-05-11 19:20:44.763419,,,,,,,,-0.1,
160,2021-05-11 19:20:44.769465,,,,,,,,,-0.1
161,2021-05-11 19:20:45.361204,,,,1.0,,,,,
162,2021-05-11 19:20:45.386231,,,,,-0.1,,,,
163,2021-05-11 19:20:45.392213,,,,,,-0.2,,,
164,2021-05-11 19:20:45.401191,,,,,,,0.1,,
165,2021-05-11 19:20:45.406186,,,,,,,,-0.0,
166,2021-05-11 19:20:45.414190,,,,,,,,,0.1
167,2021-05-11 19:20:45.990359,,,,1.0,,,,,
168,2021-05-11 19:20:46.015362,,,,,-0.1,,,,
169,2021-05-11 19:20:46.022359,,,,,,-0.2,,,
170,2021-05-11 19:20:46.027359,,,,,,,0.1,,
171,2021-05-11 19:20:46.034398,,,,,,,,0.1,
172,2021-05-11 19:20:46.040383,,,,,,,,,0.2
173,2021-05-11 19:20:46.624334,,,,1.0,,,,,
174,2021-05-11 19:20:46.652572,,,,,-0.1,,,,
175,2021-05-11 19:20:46.660421,,,,,,-0.2,,,
176,2021-05-11 19:20:46.666869,,,,,,,0.1,,
177,2021-05-11 19:20:46.672870,,,,,,,,-0.1,
178,2021-05-11 19:20:46.678869,,,,,,,,,0.1
179,2021-05-11 19:20:47.268407,,,,1.0,,,,,
180,2021-05-11 19:20:47.287430,,,,,-0.1,,,,
181,2021-05-11 19:20:47.297428,,,,,,-0.2,,,
182,2021-05-11 19:20:47.303429,,,,,,,-0.1,,
183,2021-05-11 19:20:47.308424,,,,,,,,-0.0,
184,2021-05-11 19:20:47.314400,,,,,,,,,0.0
185,2021-05-11 19:20:47.897691,,,,1.0,,,,,
186,2021-05-11 19:20:47.912698,,,,,-0.1,,,,
187,2021-05-11 19:20:47.922687,,,,,,-0.1,,,
188,2021-05-11 19:20:47.929718,,,,,,,0.1,,
189,2021-05-11 19:20:47.934712,,,,,,,,-0.1,
190,2021-05-11 19:20:47.940737,,,,,,,,,-0.0
191,2021-05-11 19:20:48.518590,,,,1.0,,,,,
192,2021-05-11 19:20:48.525629,,,,,-0.1,,,,
193,2021-05-11 19:20:48.538605,,,,,,-0.2,,,
194,2021-05-11 19:20:48.546624,,,,,,,0.1,,
195,2021-05-11 19:20:48.553630,,,,,,,,-0.2,
196,2021-05-11 19:20:48.557631,,,,,,,,,-0.0
197,2021-05-11 19:20:49.157686,,,,1.0,,,,,
198,2021-05-11 19:20:49.182681,,,,,-0.1,,,,
199,2021-05-11 19:20:49.190701,,,,,,-0.1,,,
200,2021-05-11 19:20:49.198769,,,,,,,0.0,,
201,2021-05-11 19:20:49.203745,,,,,,,,-0.9,
202,2021-05-11 19:20:49.209741,,,,,,,,,-0.2
203,2021-05-11 19:20:49.784282,,,,1.0,,,,,
204,2021-05-11 19:20:49.793318,,,,,-0.1,,,,
205,2021-05-11 19:20:49.804307,,,,,,-0.2,,,
206,2021-05-11 19:20:49.815314,,,,,,,-0.0,,
207,2021-05-11 19:20:49.820280,,,,,,,,-0.5,
208,2021-05-11 19:20:49.826280,,,,,,,,,-0.0
209,2021-05-11 19:20:50.421650,,,,1.0,,,,,
210,2021-05-11 19:20:50.440649,,,,,-0.1,,,,
211,2021-05-11 19:20:50.451682,,,,,,-0.2,,,
212,2021-05-11 19:20:50.456675,,,,,,,-0.0,,
213,2021-05-11 19:20:50.462653,,,,,,,,0.1,
214,2021-05-11 19:20:50.468650,,,,,,,,,-0.0
215,2021-05-11 19:20:51.060755,,,,1.0,,,,,
216,2021-05-11 19:20:51.080760,,,,,-0.1,,,,
217,2021-05-11 19:20:51.086759,,,,,,-0.1,,,
218,2021-05-11 19:20:51.093756,,,,,,,0.3,,
219,2021-05-11 19:20:51.098767,,,,,,,,0.3,
220,2021-05-11 19:20:51.104755,,,,,,,,,-0.0
