,DateTime,temperature,power,energy,aX,aY,aZ,gX,gY,gZ
0,2021-05-12 14:29:20.810293,30.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-05-12 14:29:34.166378,0.0,0.0,0.0,1.0,-0.1,1.2,11.4,-63.8,-0.4
2,2021-05-12 14:30:04.130711,30.15,0.0,0.0,1.0,-0.1,-0.2,0.2,1.2,0.2
3,2021-05-12 14:30:28.122485,30.15,1.87,0.0,1.0,-0.1,1.1,2.8,60.5,0.7
4,2021-05-12 14:30:33.010290,0.0,18.28,0.0,0.1,0.0,1.1,0.2,0.2,-0.1
5,2021-05-12 14:30:33.999887,0.0,8.24,0.0,0.1,0.0,1.1,0.1,0.1,0.0
6,2021-05-12 14:30:36.024696,0.0,15.51,0.0,0.1,0.0,1.1,0.2,0.2,0.1
7,2021-05-12 14:30:37.042254,0.0,53.9,0.0,0.1,0.0,1.1,-0.1,0.0,-0.1
8,2021-05-12 14:30:39.010721,0.0,29.49,0.0,0.1,0.0,1.1,0.3,0.2,-0.1
9,2021-05-12 14:30:40.053584,0.0,6.12,0.0,0.1,0.0,1.1,-0.1,0.1,0.1
10,2021-05-12 14:30:42.011242,0.0,7.21,0.0,0.1,0.0,1.1,-0.6,0.2,0.2
11,2021-05-12 14:30:42.999756,0.0,61.91,0.0,0.1,0.0,1.1,0.2,0.2,0.2
12,2021-05-12 14:30:45.008930,0.0,55.07,0.0,0.1,0.0,1.1,0.3,-0.1,-0.1
13,2021-05-12 14:30:46.007878,0.0,7.22,0.0,0.0,0.0,1.1,-0.1,0.0,-0.2
14,2021-05-12 14:30:48.001537,0.0,5.45,0.0,0.1,0.0,1.2,0.5,-0.1,0.1
15,2021-05-12 14:30:49.005638,0.0,52.99,0.0,0.0,0.0,1.1,0.3,0.0,-0.1
16,2021-05-12 14:30:52.011550,0.0,9.22,0.0,0.1,0.0,1.2,0.1,-0.2,-0.1
17,2021-05-12 14:30:54.010837,0.0,5.38,0.0,0.1,0.0,1.1,0.1,0.1,0.1
18,2021-05-12 14:30:57.013472,0.0,21.82,0.0,0.1,0.0,1.1,-0.9,0.2,-0.1
19,2021-05-12 14:30:58.006168,0.0,19.44,10.0,0.1,-0.1,1.2,-3.8,-0.7,0.2
20,2021-05-12 14:31:06.018630,0.0,13.95,10.0,0.1,0.1,1.1,3.1,0.5,0.2
21,2021-05-12 14:31:07.016065,0.0,6.39,10.0,0.1,0.0,1.1,0.3,0.2,0.0
22,2021-05-12 14:31:09.012649,0.0,60.52,10.0,0.1,0.0,1.1,-0.6,0.7,0.1
23,2021-05-12 14:31:10.013744,0.0,50.67,10.0,0.1,0.0,1.1,0.6,0.3,-0.1
24,2021-05-12 14:31:12.013606,0.0,56.15,10.0,0.1,0.0,1.1,0.7,0.3,0.2
25,2021-05-12 14:31:15.013338,0.0,61.78,10.0,0.1,0.0,1.2,0.8,-0.7,-0.1
26,2021-05-12 14:31:19.019419,0.0,65.67,10.0,0.1,0.0,1.2,-0.5,0.3,0.1
27,2021-05-12 14:31:22.004646,0.0,56.15,10.0,0.1,0.0,1.1,0.3,-0.3,-0.3
28,2021-05-12 14:31:25.016258,0.0,59.11,10.0,0.1,0.0,1.1,-0.5,0.2,-0.2
29,2021-05-12 14:31:27.999606,0.0,64.67,10.0,0.1,0.0,1.1,0.5,0.4,0.2
30,2021-05-12 14:31:33.002674,0.0,70.26,10.0,0.1,0.0,1.1,-0.5,-0.2,0.1
31,2021-05-12 14:31:42.014241,0.0,74.58,10.0,0.1,0.0,1.1,0.8,-0.5,0.2
