,DateTime,temperature,power,energy,aX,aY,aZ,gX,gY,gZ
0,2021-05-25 15:33:23.810,30.65,,,,,,,,
1,2021-05-25 15:33:23.823,,0.00,,,,,,,
2,2021-05-25 15:33:23.848,,,23259,,,,,,
3,2021-05-25 15:33:24.391,,,,1.0,,,,,
4,2021-05-25 15:33:24.411,,,,,-0.1,,,,
5,2021-05-25 15:33:24.428,,,,,,-0.2,,,
6,2021-05-25 15:33:24.447,,,,,,,0.1,,
7,2021-05-25 15:33:24.457,,,,,,,,-0.0,
8,2021-05-25 15:33:24.467,,,,,,,,,0.1
9,2021-05-25 15:33:25.036,,,,1.0,,,,,
10,2021-05-25 15:33:25.107,,,,,-0.0,,,,
11,2021-05-25 15:33:25.115,,,,,,-0.1,,,
12,2021-05-25 15:33:25.136,,,,,,,-0.0,,
13,2021-05-25 15:33:25.147,,,,,,,,0.1,
14,2021-05-25 15:33:25.164,,,,,,,,,-0.1
15,2021-05-25 15:33:25.681,,,,1.0,,,,,
16,2021-05-25 15:33:25.716,,,,,-0.1,,,,
17,2021-05-25 15:33:25.731,,,,,,-0.2,,,
18,2021-05-25 15:33:25.735,,,,,,,0.0,,
19,2021-05-25 15:33:25.747,,,,,,,,-0.1,
20,2021-05-25 15:33:25.766,,,,,,,,,-0.0
21,2021-05-25 15:33:26.297,,,,1.0,,,,,
22,2021-05-25 15:33:26.310,,,,,-0.1,,,,
23,2021-05-25 15:33:26.324,,,,,,-0.1,,,
24,2021-05-25 15:33:26.335,,,,,,,0.0,,
25,2021-05-25 15:33:26.336,,,,,,,,-0.2,
26,2021-05-25 15:33:26.345,,,,,,,,,-0.1
27,2021-05-25 15:33:26.940,,,,1.0,,,,,
28,2021-05-25 15:33:26.988,,,,,-0.0,,,,
29,2021-05-25 15:33:27.038,,,,,,-0.1,,,
30,2021-05-25 15:33:27.081,,,,,,,0.2,,
31,2021-05-25 15:33:27.116,,,,,,,,-0.0,
32,2021-05-25 15:33:27.163,,,,,,,,,0.1
33,2021-05-25 15:33:27.557,,0.00,,,,,,,
34,2021-05-25 15:33:27.637,,,23259,,,,,,
35,2021-05-25 15:33:27.648,,,,1.0,,,,,
36,2021-05-25 15:33:27.656,,,,,-0.1,,,,
37,2021-05-25 15:33:27.666,30.60,,,,,,,,
38,2021-05-25 15:33:27.676,,,,,,-0.1,,,
39,2021-05-25 15:33:27.685,,,,,,,0.1,,
40,2021-05-25 15:33:27.697,,,,,,,,0.1,
41,2021-05-25 15:33:27.710,,,,,,,,,-0.0
42,2021-05-25 15:33:28.208,,,,1.0,,,,,
43,2021-05-25 15:33:28.267,,,,,-0.1,,,,
44,2021-05-25 15:33:28.279,,,,,,-0.1,,,
45,2021-05-25 15:33:28.286,,,,,,,0.0,,
46,2021-05-25 15:33:28.296,,,,,,,,-0.1,
47,2021-05-25 15:33:28.309,,,,,,,,,0.0
48,2021-05-25 15:33:28.849,,,,1.0,,,,,
49,2021-05-25 15:33:28.936,,,,,-0.1,,,,
50,2021-05-25 15:33:28.945,,,,,,-0.1,,,
51,2021-05-25 15:33:28.961,,,,,,,-0.2,,
52,2021-05-25 15:33:28.967,,,,,,,,-0.0,
53,2021-05-25 15:33:28.979,,,,,,,,,-0.1
54,2021-05-25 15:33:29.479,,,,1.0,,,,,
55,2021-05-25 15:33:29.535,,,,,-0.0,,,,
56,2021-05-25 15:33:29.550,,,,,,-0.1,,,
57,2021-05-25 15:33:29.568,,,,,,,0.1,,
58,2021-05-25 15:33:29.585,,,,,,,,-0.0,
59,2021-05-25 15:33:29.595,,,,,,,,,-0.1
60,2021-05-25 15:33:30.096,,,,1.0,,,,,
61,2021-05-25 15:33:30.109,,,,,-0.1,,,,
62,2021-05-25 15:33:30.122,,,,,,-0.1,,,
63,2021-05-25 15:33:30.137,,,,,,,0.1,,
64,2021-05-25 15:33:30.147,,,,,,,,0.1,
65,2021-05-25 15:33:30.160,,,,,,,,,0.0
66,2021-05-25 15:33:30.730,,,,1.0,,,,,
67,2021-05-25 15:33:30.753,,,,,-0.1,,,,
68,2021-05-25 15:33:30.767,,,,,,-0.1,,,
69,2021-05-25 15:33:30.780,,,,,,,-0.0,,
70,2021-05-25 15:33:30.800,,,,,,,,0.2,
71,2021-05-25 15:33:30.810,,,,,,,,,0.1
72,2021-05-25 15:33:31.363,,,,1.0,,,,,
73,2021-05-25 15:33:31.380,,,,,-0.1,,,,
74,2021-05-25 15:33:31.396,,,,,,-0.1,,,
75,2021-05-25 15:33:31.397,,,,,,,0.1,,
76,2021-05-25 15:33:31.416,,,,,,,,-0.1,
77,2021-05-25 15:33:31.425,,,,,,,,,0.0
78,2021-05-25 15:33:32.028,,,,1.0,,,,,
79,2021-05-25 15:33:32.048,,,,,-0.1,,,,
80,2021-05-25 15:33:32.065,,,,,,-0.1,,,
81,2021-05-25 15:33:32.075,,,,,,,0.1,,
82,2021-05-25 15:33:32.086,,,,,,,,0.1,
83,2021-05-25 15:33:32.095,,,,,,,,,0.0
84,2021-05-25 15:33:32.634,,,,1.0,,,,,
85,2021-05-25 15:33:32.647,,,,,-0.1,,,,
86,2021-05-25 15:33:32.664,,,,,,-0.2,,,
87,2021-05-25 15:33:32.675,,,,,,,0.0,,
88,2021-05-25 15:33:32.677,,,,,,,,-0.2,
89,2021-05-25 15:33:32.691,,,,,,,,,-0.1
90,2021-05-25 15:33:33.261,,,,1.0,,,,,
91,2021-05-25 15:33:33.271,,,,,-0.1,,,,
92,2021-05-25 15:33:33.284,,,,,,-0.1,,,
93,2021-05-25 15:33:33.296,,,,,,,0.2,,
94,2021-05-25 15:33:33.308,,,,,,,,0.0,
95,2021-05-25 15:33:33.317,,,,,,,,,0.1
96,2021-05-25 15:33:33.917,,,,1.0,,,,,
97,2021-05-25 15:33:33.947,,,,,-0.1,,,,
98,2021-05-25 15:33:33.961,,,,,,-0.1,,,
99,2021-05-25 15:33:33.977,,,,,,,0.1,,
100,2021-05-25 15:33:33.989,,,,,,,,0.1,
101,2021-05-25 15:33:34.004,,,,,,,,,-0.0
102,2021-05-25 15:33:34.552,,,,1.0,,,,,
103,2021-05-25 15:33:34.622,,,,,-0.1,,,,
104,2021-05-25 15:33:34.639,,,,,,-0.2,,,
105,2021-05-25 15:33:34.646,,,,,,,-0.1,,
106,2021-05-25 15:33:34.656,,,,,,,,-0.1,
107,2021-05-25 15:33:34.662,,,,,,,,,0.0
108,2021-05-25 15:33:35.165,,,,1.0,,,,,
109,2021-05-25 15:33:35.181,,,,,-0.0,,,,
110,2021-05-25 15:33:35.187,,,,,,-0.1,,,
111,2021-05-25 15:33:35.196,,,,,,,-0.0,,
112,2021-05-25 15:33:35.207,,,,,,,,-0.0,
113,2021-05-25 15:33:35.220,,,,,,,,,0.1
114,2021-05-25 15:33:35.826,,,,1.0,,,,,
115,2021-05-25 15:33:35.887,,,,,-0.1,,,,
116,2021-05-25 15:33:35.899,,,,,,-0.1,,,
117,2021-05-25 15:33:35.915,,,,,,,0.1,,
118,2021-05-25 15:33:35.926,,,,,,,,-0.2,
119,2021-05-25 15:33:35.940,,,,,,,,,0.2
120,2021-05-25 15:33:36.440,,,,1.0,,,,,
121,2021-05-25 15:33:36.474,,,,,-0.1,,,,
122,2021-05-25 15:33:36.486,,,,,,-0.1,,,
123,2021-05-25 15:33:36.497,,,,,,,-0.0,,
124,2021-05-25 15:33:36.509,,,,,,,,-0.1,
125,2021-05-25 15:33:36.518,,,,,,,,,0.1
